Name,Symbol,Mint Address,CoinGecko ID,Current Price (USD),Market Cap (USD),Total Volume (USD),Price Change 24h (%),Launch Date,Categories,DEX Volume (USD),DEX Liquidity (USD)
Jupiter,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,jupiter-exchange-solana,0.380742,1081725381.0,54467180.0,-2.40156,,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Made in USA","{'m5': '20919.6263388695', 'm15': '214018.009873901', 'm30': '522455.633556215', 'h1': '1216530.6007477', 'h6': '5731961.26927335', 'h24': '18567371.9212877'}",
Jupiter Staked SOL,JupSOL,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,jupiter-staked-sol,145.51,634927601.0,7210274.0,-1.00322,,"Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking","{'m5': '0.0', 'm15': '1473.240526744', 'm30': '2157.4437193587', 'h1': '18290.8349215337', 'h6': '1385894.71866769', 'h24': '5650102.7980371'}",
Marinade staked SOL (mSOL),mSOL,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,msol,169.59,603784197.0,8796430.0,-1.17351,,"Decentralized Finance (DeFi), Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking","{'m5': '6024.961967783', 'm15': '8120.8884701441', 'm30': '15055.4404304114', 'h1': '28851.6831119629', 'h6': '2922554.96744454', 'h24': '5128294.96942841'}",
Retard Finder Coin,RFC,C3DwDjT17gDvvCYC2nsdGHxDHVmQRdhKfpAdqQ29pump,retard-finder-coin,0.092537,89736896.0,55755422.0,-19.38599,,"Solana Ecosystem, Meme, Pump.fun Ecosystem","{'m5': '28634.4790662238', 'm15': '67381.7975381699', 'm30': '103314.999792328', 'h1': '456504.447540132', 'h6': '3098741.91747497', 'h24': '10836547.4152662'}",
USDS,USDS,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,usds,1.0,7309551890.0,13457739.0,0.00796,,"Stablecoins, USD Stablecoin, Solana Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Fiat-backed Stablecoin","{'m5': '0.0', 'm15': '24.9644761662', 'm30': '24.9644761662', 'h1': '673.789860905', 'h6': '63870.7400301029', 'h24': '3743945.21918429'}",
titcoin,titcoin,FtUEW73K6vEYHfbkfpdBZfWpxgQar2HipGdbutEhpump,titcoin-2,0.01456923,14052105.0,9602599.0,-18.02735,,"Solana Ecosystem, Meme, Solana Meme, Pump.fun Ecosystem","{'m5': '8043.9876038953', 'm15': '22850.9678071873', 'm30': '37599.734583094', 'h1': '76239.7215960399', 'h6': '1125578.3944228', 'h24': '5719228.73133623'}",
Bonk,Bonk,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,bonk,1.297e-05,1003737358.0,112079746.0,-2.222,,"BNB Chain Ecosystem, Solana Ecosystem, Polygon Ecosystem, Meme, Arbitrum Ecosystem, Ethereum Ecosystem, Aptos Ecosystem, Dog-Themed, Solana Meme, Neon Ecosystem, GMCI Meme Index, GMCI Index, Made in USA, Coinbase 50 Index","{'m5': '0.0', 'm15': '0.0', 'm30': '4833.4344236946', 'h1': '4833.6955741897', 'h6': '68797.0082562703', 'h24': '623839.128751906'}",
Alchemist AI,ALCH,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,alchemist-ai,0.160085,136493036.0,89500376.0,11.09122,,"Artificial Intelligence (AI), Solana Ecosystem, Meme, Pump.fun Ecosystem, AI Applications, Binance Alpha Spotlight","{'m5': '29.7680917572', 'm15': '20201.2096017056', 'm30': '40017.9415278174', 'h1': '81100.1239057915', 'h6': '1161179.466939', 'h24': '6299497.17826882'}",
The Next Bitcoin,BUTTCOIN,FasH397CeZLNYWkd3wWK9vrmjd1z93n3b59DssRXpump,buttcoin-4,0.01237161,12650684.0,10735917.0,-24.26982,,"Solana Ecosystem, Pump.fun Ecosystem","{'m5': '3217.9585211338', 'm15': '8266.2309152738', 'm30': '14153.3492386847', 'h1': '37475.3742586574', 'h6': '531418.309602795', 'h24': '3103712.51251252'}",
First Digital USD,FDUSD,9zNQRsGLjNKwCUU5Gq5LR8beUCPzQMVMqKAi3SSZh54u,first-digital-usd,0.999027,1642719718.0,2581554085.0,0.18041,,"Stablecoins, USD Stablecoin, BNB Chain Ecosystem, Ethereum Ecosystem, Sui Ecosystem, Fiat-backed Stablecoin","{'m5': '34.3990850902', 'm15': '1760.9582751099', 'm30': '1760.9582751099', 'h1': '2964.8092878673', 'h6': '205259.81672429', 'h24': '1844860.50759637'}",
PayPal USD,PYUSD,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,paypal-usd,0.999931,838690997.0,28875515.0,0.01923,,"Stablecoins, USD Stablecoin, Solana Ecosystem, Ethereum Ecosystem, Fiat-backed Stablecoin, Made in USA","{'m5': '0.0', 'm15': '0.0', 'm30': '0.0', 'h1': '0.0', 'h6': '5315.789658141', 'h24': '3458603.0040115'}",
zBTC,zBTC,zBTCug3er3tLyffELcvDNrKkCymbPWysGcWihESYfLg,zeus-netwok-zbtc,85516.0,7117934.0,5808107.0,0.62596,,"Solana Ecosystem, BTCfi","{'m5': '8281.0416621843', 'm15': '14843.66679384', 'm30': '19185.26041312', 'h1': '34372.0643577127', 'h6': '454998.251260718', 'h24': '1818201.96342236'}",
BlazeStake Staked SOL (bSOL),bSOL,bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,blazestake-staked-sol,159.58,0.0,3151279.0,-0.82007,,"Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking","{'m5': '125.8283638669', 'm15': '3363.4169244802', 'm30': '8204.1746004215', 'h1': '14754.5670595654', 'h6': '45014.7328766093', 'h24': '617089.827262175'}",
AI Rig Complex,arc,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,ai-rig-complex,0.03792865,38109417.0,15490847.0,5.84783,,"Artificial Intelligence (AI), Infrastructure, Solana Ecosystem, Meme, AI Agents, Pump.fun Ecosystem, AI Agent Launchpad, Binance Alpha Spotlight, AI Framework","{'m5': '0.0', 'm15': '5574.8190160869', 'm30': '15357.1716633761', 'h1': '39162.4507248035', 'h6': '285066.513481459', 'h24': '1467877.70495901'}",
Kamino,KMNO,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,kamino,0.04988631,67374886.0,8610422.0,-3.68432,,"Decentralized Finance (DeFi), Lending/Borrowing Protocols, Solana Ecosystem, Binance Alpha Spotlight","{'m5': '919.2862808447', 'm15': '7290.0685812156', 'm30': '13489.1543705546', 'h1': '21315.7975633606', 'h6': '246432.676313993', 'h24': '1478107.71355096'}",
Infinity,INF,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,socean-staked-sol,172.5,37634018.0,2877760.0,-1.32664,,"Solana Ecosystem, Liquid Staking Tokens, Liquid Staking","{'m5': '2141.9150208233', 'm15': '14895.6342625672', 'm30': '23462.1230836936', 'h1': '40276.4166776923', 'h6': '845861.566416442', 'h24': '2016271.78525078'}",
Raydium,RAY,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,raydium,2.16,626481738.0,90536927.0,3.86632,,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Yield Farming, Automated Market Maker (AMM), Solana Ecosystem, Launchpad, GMCI DeFi Index, GMCI Index","{'m5': '5227.8101152642', 'm15': '129927.70527017', 'm30': '317202.233002679', 'h1': '906930.304887315', 'h6': '4232788.27747909', 'h24': '19603135.8926387'}",
Global Dollar,USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,global-dollar,1.0,245797475.0,5109168.0,0.0041,,"Stablecoins, USD Stablecoin, Solana Ecosystem, Fiat-backed Stablecoin","{'m5': '2671.7167707005', 'm15': '3078.1631201173', 'm30': '43824.4637286159', 'h1': '44944.2473139692', 'h6': '170612.855957325', 'h24': '3003445.01664149'}",
FWOG,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,fwog,0.03791828,36929482.0,9927714.0,-11.91438,,"Solana Ecosystem, Meme, Frog-Themed, Solana Meme, Pump.fun Ecosystem, Binance Alpha Spotlight","{'m5': '284.5242754902', 'm15': '8828.4814716257', 'm30': '22668.9515290783', 'h1': '31272.8243995964', 'h6': '306486.752314385', 'h24': '3244725.0433414'}",
MANEKI,MANEKI,25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ,maneki,0.00244749,21671634.0,8737693.0,-14.68455,,"Solana Ecosystem, Meme, Solana Meme, Cat-Themed","{'m5': '2497.7400209396', 'm15': '5119.7241592267', 'm30': '5336.1304263038', 'h1': '50013.1348628444', 'h6': '928632.078772244', 'h24': '4092946.78548956'}",
